normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc
0.5543849725 0.7098098872 0.9288109471 0.8967526653 0.7400872428 0.7382874132 0.5086505595 0.4306185863 0.9548089577
0.4724834429 0.6391163014 0.9016195174 0.852457742 0.6674729737 0.669213476 0.43901297 0.3624800816 0.9385978269
0.4652478258 0.6504282795 0.9062515092 0.8625489807 0.708072294 0.6312564411 0.4308950227 0.3623271082 1.016722317
0.4724834429 0.6391163014 0.9016195174 0.852457742 0.6674729737 0.669213476 0.43901297 0.3624800816 0.9385978269
0.4724834429 0.6391163014 0.9016195174 0.852457742 0.6674729737 0.669213476 0.43901297 0.3624800816 0.9385978269
0.4652478258 0.6504282795 0.9062515092 0.8625489807 0.708072294 0.6312564411 0.4308950227 0.3623271082 1.016722317
0.4724834429 0.6391163014 0.9016195174 0.852457742 0.6674729737 0.669213476 0.43901297 0.3624800816 0.9385978269
0.4115392774 0.5796959827 0.8758579998 0.8030840898 0.603828611 0.6118601056 0.3850845156 0.3129055389 0.9126687187
0.406655825 0.593459308 0.8820248901 0.7918268165 0.6356321374 0.5676580299 0.3781137332 0.3130107081 1.0159501
0.4115392774 0.5796959827 0.8758579998 0.8030840898 0.603828611 0.6118601056 0.3850845156 0.3129055389 0.9126687187
1 1 1 1 1 1 1 1 1
0.8860260671 0.9959866123 1.000766399 1.019396483 1.035481654 1.012992832 0.9604871939 0.9988797884 1.011469062
0.8351222042 0.8925801501 0.9793471117 0.97503822 0.9046236215 0.9117497515 0.759270965 0.6987809931 0.9848656233
0.754667798 0.8880300397 0.9799959265 1.001770645 0.9581632368 0.8883872792 0.7340040736 0.6982360252 1.011615892
0.6702491221 0.7949353474 0.9551771852 0.9394554474 0.8191156947 0.8198502923 0.6113276677 0.5315380203 0.969997716
0.6434278442 0.7948537405 0.9573839955 0.9709441426 0.8720645709 0.7888815927 0.594207988 0.5313308688 1.011615892
0.5543849725 0.7098098872 0.9288109471 0.8967526653 0.7400872428 0.7382874132 0.5086505595 0.4306185863 0.9548089577
